# ZhangYu 12-Dec-2014 

router

# node	comment	yPos	xPos	systemID
Node0	NA	61	83	0	
Node1	NA	81	18	1	
Node2	NA	57	85	2	
Node3	NA	91	66	3	
Node4	NA	34	6	4	
Node5	NA	63	20	5	
Node6	NA	2	46	6	
Node7	NA	88	46	7	
Node8	NA	22	22	8	
Node9	NA	98	79	9	
Node10	NA	14	30	10	
Node11	NA	38	38	11	
Node12	NA	0	0	12	
Node13	NA	6	85	13	
Node14	NA	27	69	14	
Node15	NA	9	7	15	
Node16	NA	29	74	16	
Node17	NA	12	95	17	
Node18	NA	45	68	18	
Node19	NA	65	44	19	
Node20	NA	94	51	20	
Node21	NA	0	55	21	
Node22	NA	48	45	22	
Node23	NA	56	60	23	
Node24	NA	9	64	24	
Node25	NA	14	7	25	
Node26	NA	27	9	26	
Node27	NA	52	23	27	
Node28	NA	29	42	28	
Node29	NA	27	80	29	
Node30	NA	50	32	30	
Node31	NA	20	32	31	
Node32	NA	64	16	32	
Node33	NA	49	33	33	
Node34	NA	24	73	34	

link

#srcNode	dstNode	bandwidth	metric	delay	queue	
Node3	Node2	30.0kbps	30	20ms	
Node3	Node0	30.0kbps	30	20ms	
Node3	Node1	30.0kbps	30	20ms	
Node4	Node1	30.0kbps	30	20ms	
Node4	Node0	30.0kbps	30	20ms	
Node4	Node2	30.0kbps	30	20ms	
Node5	Node1	30.0kbps	30	20ms	
Node5	Node4	30.0kbps	30	20ms	
Node5	Node2	30.0kbps	30	20ms	
Node6	Node0	30.0kbps	30	20ms	
Node6	Node5	30.0kbps	30	20ms	
Node6	Node1	30.0kbps	30	20ms	
Node7	Node3	30.0kbps	30	20ms	
Node7	Node1	30.0kbps	30	20ms	
Node7	Node4	30.0kbps	30	20ms	
Node8	Node0	30.0kbps	30	20ms	
Node8	Node4	30.0kbps	30	20ms	
Node8	Node1	30.0kbps	30	20ms	
Node9	Node3	30.0kbps	30	20ms	
Node9	Node0	30.0kbps	30	20ms	
Node9	Node4	30.0kbps	30	20ms	
Node10	Node1	30.0kbps	30	20ms	
Node10	Node8	30.0kbps	30	20ms	
Node10	Node6	30.0kbps	30	20ms	
Node11	Node10	30.0kbps	30	20ms	
Node11	Node5	30.0kbps	30	20ms	
Node11	Node2	30.0kbps	30	20ms	
Node12	Node6	30.0kbps	30	20ms	
Node12	Node8	30.0kbps	30	20ms	
Node12	Node10	30.0kbps	30	20ms	
Node13	Node10	30.0kbps	30	20ms	
Node13	Node8	30.0kbps	30	20ms	
Node13	Node2	30.0kbps	30	20ms	
Node14	Node9	30.0kbps	30	20ms	
Node14	Node6	30.0kbps	30	20ms	
Node14	Node13	30.0kbps	30	20ms	
Node15	Node4	30.0kbps	30	20ms	
Node15	Node8	30.0kbps	30	20ms	
Node15	Node12	30.0kbps	30	20ms	
Node17	Node13	30.0kbps	30	20ms	
Node17	Node2	30.0kbps	30	20ms	
Node17	Node11	30.0kbps	30	20ms	
Node16	Node2	30.0kbps	30	20ms	
Node16	Node17	30.0kbps	30	20ms	
Node16	Node9	30.0kbps	30	20ms	
Node19	Node8	30.0kbps	30	20ms	
Node19	Node3	30.0kbps	30	20ms	
Node19	Node11	30.0kbps	30	20ms	
Node18	Node19	30.0kbps	30	20ms	
Node18	Node14	30.0kbps	30	20ms	
Node18	Node2	30.0kbps	30	20ms	
Node21	Node6	30.0kbps	30	20ms	
Node21	Node16	30.0kbps	30	20ms	
Node21	Node11	30.0kbps	30	20ms	
Node20	Node6	30.0kbps	30	20ms	
Node20	Node19	30.0kbps	30	20ms	
Node20	Node1	30.0kbps	30	20ms	
Node23	Node2	30.0kbps	30	20ms	
Node23	Node0	30.0kbps	30	20ms	
Node23	Node7	30.0kbps	30	20ms	
Node22	Node19	30.0kbps	30	20ms	
